"user_location_us","top_words_with_freq"
"Alabama","justdoit(8), something(2), will(2), “(1), “brodoyoumarvel(1)"
"Arizona","justdoit(20), nike(14), kaepernick(7), commercial(4), best(3)"
"Arkansas","justdoit(4), nike(3), care(2), dream(2), girls(2)"
"California","justdoit(181), nike(103), kaepernick(47), love(19), new(19)"
"Colorado","justdoit(21), nike(11), kaepernick(4), inspired(3), realdonaldtrump(3)"
"Connecticut","justdoit(8), realdonaldtrump(3), nike(2), thinking(2), absolutely(1)"
"Delaware","justdoit(9), nike(4), kaepernick(3), campaign(2), commercial(2)"
"Florida","justdoit(86), nike(46), kaepernick(19), agod(14), gmt(11)"
"Georgia","justdoit(85), nike(45), nfl(28), music(26), ⭐️stream(25)"
"Hawaii","nike(6), justdoit(5), kaepernick(2), allegiance(1), alot(1)"
"Idaho","justdoit(2), kaepernick(2), alive(1), atlantafalcons(1), back(1)"
"Illinois","justdoit(49), nike(34), kaepernick(10), chicago(7), ad(6)"
"Indiana","justdoit(49), nike(31), kaepernick(10), new(7), commercial(6)"
"Iowa","justdoit(3), verydice(2), want(2), blackout(1), blackpink(1)"
"Kansas","justdoit(7), nike(6), size(5), shoe(4), kid(2)"
"Kentucky","justdoit(13), imwithkap(3), one(3), beats(2), make(2)"
"Likely not a US state","justdoit(1445), nike(819), kaepernick(235), new(126), realdonaldtrump(115)"
"Louisiana","justdoit(26), nike(19), kaepernick(5), will(4), commercial(3)"
"Maine","justdoit(2), america(1), american(1), anything(1), coherent(1)"
"Maryland","justdoit(16), nike(11), kaepernick(3), will(3), black(2)"
"Massachusetts","justdoit(26), nike(13), believe(4), best(4), great(4)"
"Michigan","justdoit(42), nike(30), kaepernick(11), new(7), bogo(5)"
"Minnesota","justdoit(12), nike(11), kaepernick(5), done(3), ad(2)"
"Mississippi","“scholarships”(1), alabama(1), athletes(1), begreatallthetime(1), endorsement(1)"
"Missouri","justdoit(14), nike(8), will(3), colin(2), golf(2)"
"Montana","standing(5), american(3), right(3), believeinsomething(2), justdoit(2)"
"Nebraska","commercial(3), justdoit(2), love(2), nike(2), ✊🌯✊🌯justdoit(1)"
"Nevada","justdoit(9), nike(6), think(3), mjaintd(2), new(2)"
"New Hampshire","favorability(3), corybooker(2), justdoit(2), kaepernick(2), ‘just(1)"
"New Jersey","justdoit(28), nike(18), kaepernick(5), campaign(4), nfl(4)"
"New Mexico","justdoit(5), nike(4), air(1), anyone(1), ap(1)"
"New York","justdoit(98), nike(54), kaepernick(30), new(11), nfl(11)"
"North Carolina","justdoit(38), nike(19), protest(6), back(5), just(5)"
"North Dakota","admit(1), commercial(1), debate(1), done(1), dont(1)"
"Ohio","justdoit(29), nike(14), ad(3), colin(3), ever(3)"
"Oklahoma","justdoit(3), blackexcellence(1), business(1), commercial(1), gold(1)"
"Oregon","justdoit(26), nike(23), big(3), colinkaepernick(3), day(3)"
"Pennsylvania","justdoit(34), nike(19), kaepernick(4), love(4), one(4)"
"Rhode Island","justdoit(3), campaign(2), nike(2), “sacrifice(1), asia(1)"
"South Carolina","justdoit(12), nike(11), kaepernick(4), thinking(4), •(3)"
"South Dakota","anthem(1), choose(1), games(1), justdoit(1), national(1)"
"Tennessee","justdoit(31), nike(11), good(6), kaepernick(6), realdonaldtrump(5)"
"Texas","justdoit(95), nike(58), kaepernick(13), new(8), will(8)"
"Utah","justdoit(6), body(3), nike(3), car(2), care(2)"
"Vermont","country(3), justdoit(3), nike(2), old(2), women(2)"
"Virginia","justdoit(20), nike(11), kaepernick(6), right(5), done(4)"
"Washington","justdoit(25), nike(17), new(5), commercial(4), kaepernick(4)"
"Washington DC","justdoit(23), nike(13), kaepernick(7), commercial(4), best(3)"
"Wisconsin","justdoit(10), nike(8), new(6), commercial(3), kap(3)"
"Wyoming","justdoit(1), kaepernick(1), love(1), nike(1), thank(1)"
